	Cliente	SECTOR NEGOCIO	9/1/2020	10/1/2020	11/1/2020	12/1/2020	1/1/2021
27	ALCON VIAJES	TERRESTRE	934.27"	"19	151.16"	"3	492.04"
28	SOUTHBOUND TRAVEL	AÉREO			"1	133.63"	"3
29	SOUTHBOUND TRAVEL	TERRESTRE	"25	684.15"			
30	ROMINA VANESA ANSELMO	AÉREO	"18	214.75"	"25	684.89"	"1
31	ROMINA VANESA ANSELMO	TERRESTRE	605.82"				
32	CRISTINA GALVAN- CONSU	AÉREO	746.29"	"7	923.20"		
33	CRISTINA GALVAN- CONSU	TERRESTRE	537.23"			305.60	"1
34	PELOSSO TRAVEL	AÉREO	"4	823.68"	"2	585.61"	
35	PELOSSO TRAVEL	TERRESTRE	648.21	335.66			146.43
36	TU VIAJE CLICK S.R.L	AÉREO	913.75"			"1	493.93"
37	TU VIAJE CLICK S.R.L	TERRESTRE				"2	463.94"
38	DPTO DE TURISMO ASOC M	AÉREO	"3	712.47"	"6	598.79"	
39	DPTO DE TURISMO ASOC M	TERRESTRE		"2	369.05"	811.00	"7
40	BETEL TURISMO	AÉREO	"13	892.93"	"2	209.58"	734.35
41	BETEL TURISMO	TERRESTRE	550.12"				"1
42	MUTUAL 9 DE JULIO	AÉREO	"15	852.13"			
43	MUTUAL 9 DE JULIO	TERRESTRE		"2	174.90"		
44	F & P ASESORAMIENTOS T	AÉREO	"9	811.64"	"6	132.13"	"2
45	F&P ASESORAMIENTOS TUR	AÉREO		"2	792.80"	"7	471.01"
46	F&P ASESORAMIENTOS TUR	TERRESTRE	445.00"				"10
47	AR VILLA MARIA RUMBOS	AÉREO		"2	374.04"	"6	761.73"
48	AR VILLA MARIA RUMBOS	TERRESTRE	847.00"	"5	531.00"	"2	754.00"
49	VUELE ONLINE-CLUB DE P	AÉREO	"15	880.78"	"8	721.96"	"11
50	HIMALAYA CORDILLERA	AÉREO	842.59"	"2	687.75"		"2
51	HIMALAYA CORDILLERA	TERRESTRE	420.25"	689.00	"1	506.00"	
52	"ZAMBRANA	 JORGE ALEJAN"					"45
53	PENINSULAR VIAJES Y TU	AÉREO		"1	421.43"		
54	PENINSULAR VIAJES Y TU	TERRESTRE		"2	698.42"	"15	817.42"
55	SADOP	AÉREO					"2
56	SADOP	TERRESTRE					
57	TRAMUNTANA	AÉREO			"1	620.86"	
58	TRAMUNTANA	TERRESTRE	"1	556.48"			
59	POTENZA VIAJES	AÉREO	"1	771.68"	"4	539.53"	723.91
60	POTENZA VIAJES	TERRESTRE		"1	585.00"		
61	DE LA GRAN ITALIA VIAJ	AÉREO	"6	883.76"	"1	601.92"	
62	DE LA GRAN ITALIA VIAJ	TERRESTRE		805.57	"2	974.76"	"3
63	NO USAR** EXPENDER TRA	AÉREO	091.58"	"8	972.11"	"3	069.93"
64	NO USAR** EXPENDER TRA	TERRESTRE					
65	**** NO USAR*******EXP	AÉREO	"27	413.32"	"4	125.05"	"5
66	JOSEFINA TRAVEL	AÉREO	417.73"	973.55		464.42	
67	JOSEFINA TRAVEL	TERRESTRE	339.85"			361.73	"11
68	HIMALAYA VILLA DEL ROS	AÉREO	902.46		"2	846.30"	
69	HIMALAYA VILLA DEL ROS	TERRESTRE			"3	740.26"	981.00
70	TRAVEL WISE	AÉREO	754.15"	"2	134.57"		
71	TRAVEL WISE	TERRESTRE	090.79"	"4	122.00"	"1	285.23"
72	LUIS SANZ	AÉREO			895.12		"5
73	LUIS SANZ	TERRESTRE	760.34"			"2	152.11"
74	ARGENTUR	AÉREO	"1	310.79"	"12	814.55"	
75	ZAFIRO  VIAJES	AÉREO	"1	710.26"			
76	SEASONS TOURS	AÉREO					
77	SEASONS TOURS	TERRESTRE	726.07"	"2	105.65"		
78	ASOCIACION MUTUAL SANC	AÉREO	538.70"	"2	457.68"	36.78	
79	ASOCIACION MUTUAL SANC	TERRESTRE	332.27		"2	120.39"	613.61
80	TOURION	AÉREO					
81	TOURION	TERRESTRE			"5	877.55"	
82	ALEXANDRIA VIAJES Y TU	AÉREO					
83	ALEXANDRIA VIAJES Y TU	TERRESTRE			"1	079.61"	
84	GRUPO RAYS	TERRESTRE			"20	393.26"	"2
85	ESSENYA	AÉREO				250.44	210.39
86	ESSENYA	TERRESTRE				"1	819.15"
87	ONE TRIP CARLOS PAZ	AÉREO	"1	183.02"		144.39	"4
88	ONE TRIP CARLOS PAZ	TERRESTRE	"4	050.00"	"5	802.00"	
89	NAMUR VIAJES	AÉREO			866.31		"3
90	NAMUR VIAJES	TERRESTRE	310.00"				
