2,00:00:47,1,"0,00 %","0,00 %","0,00 US$"
7,00:00:26,0,"0,00 %","12,50 %","0,00 US$"
7,00:06:09,3,"66,67 %","37,50 %","0,00 US$"
7,00:00:57,1,"0,00 %","0,00 %","0,00 US$"
5,00:03:30,0,"0,00 %","0,00 %","0,00 US$"
7,00:01:25,2,"0,00 %","12,50 %","0,00 US$"
7,00:02:21,3,"200,00 %","87,50 %","0,00 US$"
7,00:04:23,0,"0,00 %","37,50 %","0,00 US$"
7,00:04:45,1,"0,00 %","62,50 %","0,00 US$"
5,00:01:44,2,"50,00 %","12,50 %","0,00 US$"
7,00:12:29,0,"0,00 %","25,00 %","0,00 US$"
8,00:02:31,2,"0,00 %","37,50 %","0,00 US$"
6,00:01:00,0,"0,00 %","14,29 %","0,00 US$"
3,00:00:28,0,"0,00 %","14,29 %","0,00 US$"
6,00:00:31,1,"100,00 %","42,86 %","0,00 US$"
5,00:00:12,0,"0,00 %","57,14 %","0,00 US$"
5,00:00:16,0,"0,00 %","0,00 %","0,00 US$"
7,00:08:38,2,"0,00 %","42,86 %","0,00 US$"
7,00:00:13,0,"0,00 %","14,29 %","0,00 US$"
7,00:07:38,0,"0,00 %","71,43 %","0,00 US$"
3,00:00:25,2,"0,00 %","0,00 %","0,00 US$"
7,00:00:14,1,"0,00 %","0,00 %","0,00 US$"
7,00:00:40,0,"0,00 %","42,86 %","0,00 US$"
6,00:04:47,0,"0,00 %","0,00 %","0,00 US$"
6,00:00:10,0,"0,00 %","14,29 %","0,00 US$"
6,00:00:25,0,"0,00 %","0,00 %","0,00 US$"
6,00:00:44,1,"100,00 %","71,43 %","0,00 US$"
6,00:01:31,0,"0,00 %","0,00 %","0,00 US$"
4,00:00:47,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:24,0,"0,00 %","0,00 %","0,00 US$"
6,00:03:12,1,"0,00 %","57,14 %","0,00 US$"
7,00:00:13,0,"0,00 %","42,86 %","0,00 US$"
6,00:01:24,0,"0,00 %","28,57 %","0,00 US$"
7,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
5,00:00:54,0,"0,00 %","66,67 %","0,00 US$"
4,00:01:03,0,"0,00 %","33,33 %","0,00 US$"
5,00:00:09,1,"0,00 %","16,67 %","0,00 US$"
2,00:00:16,0,"0,00 %","0,00 %","0,00 US$"
3,00:00:42,0,"0,00 %","16,67 %","0,00 US$"
4,00:00:47,0,"0,00 %","0,00 %","0,00 US$"
2,00:01:24,0,"0,00 %","16,67 %","0,00 US$"
5,00:01:21,0,"0,00 %","66,67 %","0,00 US$"
6,00:05:14,0,"0,00 %","50,00 %","0,00 US$"
5,00:00:09,0,"0,00 %","50,00 %","0,00 US$"
5,00:25:32,0,"0,00 %","83,33 %","0,00 US$"
4,00:03:35,2,"50,00 %","33,33 %","0,00 US$"
3,00:00:24,0,"0,00 %","50,00 %","0,00 US$"
5,00:02:07,1,"0,00 %","0,00 %","0,00 US$"
3,00:02:29,0,"0,00 %","20,00 %","0,00 US$"
2,00:01:08,0,"0,00 %","0,00 %","0,00 US$"
4,00:04:14,0,"0,00 %","60,00 %","0,00 US$"
5,00:00:10,0,"0,00 %","20,00 %","0,00 US$"
4,00:00:06,0,"0,00 %","40,00 %","0,00 US$"
4,00:00:08,0,"0,00 %","40,00 %","0,00 US$"
2,00:00:12,0,"0,00 %","0,00 %","0,00 US$"
5,00:00:43,0,"0,00 %","40,00 %","0,00 US$"
1,00:01:12,0,"0,00 %","0,00 %","0,00 US$"
4,00:01:07,0,"0,00 %","80,00 %","0,00 US$"
3,00:03:42,0,"0,00 %","20,00 %","0,00 US$"
4,00:04:00,0,"0,00 %","60,00 %","0,00 US$"
2,00:01:44,1,"0,00 %","0,00 %","0,00 US$"
3,00:00:19,0,"0,00 %","40,00 %","0,00 US$"
4,00:01:25,1,"0,00 %","20,00 %","0,00 US$"
1,00:05:26,0,"0,00 %","25,00 %","0,00 US$"
2,00:00:33,0,"0,00 %","50,00 %","0,00 US$"
3,00:00:17,0,"0,00 %","50,00 %","0,00 US$"
4,00:05:41,0,"0,00 %","50,00 %","0,00 US$"
3,00:00:20,0,"0,00 %","0,00 %","0,00 US$"
3,00:00:21,0,"0,00 %","0,00 %","0,00 US$"
4,00:00:09,0,"0,00 %","25,00 %","0,00 US$"
3,00:03:39,0,"0,00 %","75,00 %","0,00 US$"
4,00:00:36,0,"0,00 %","75,00 %","0,00 US$"
1,00:01:11,0,"0,00 %","0,00 %","0,00 US$"
3,00:02:18,0,"0,00 %","25,00 %","0,00 US$"
4,00:00:06,0,"0,00 %","0,00 %","0,00 US$"
2,00:02:35,0,"0,00 %","0,00 %","0,00 US$"
3,00:01:26,0,"0,00 %","25,00 %","0,00 US$"
4,00:00:07,0,"0,00 %","0,00 %","0,00 US$"
4,00:00:08,0,"0,00 %","25,00 %","0,00 US$"
4,00:00:07,0,"0,00 %","0,00 %","0,00 US$"
4,00:00:11,0,"0,00 %","50,00 %","0,00 US$"
3,00:00:09,0,"0,00 %","0,00 %","0,00 US$"
3,00:02:03,0,"0,00 %","25,00 %","0,00 US$"
2,00:02:39,0,"0,00 %","25,00 %","0,00 US$"
2,00:00:14,0,"0,00 %","0,00 %","0,00 US$"
3,00:00:13,0,"0,00 %","0,00 %","0,00 US$"
3,00:03:38,0,"0,00 %","25,00 %","0,00 US$"
2,00:00:27,0,"0,00 %","0,00 %","0,00 US$"
2,00:01:23,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:30,0,"0,00 %","0,00 %","0,00 US$"
3,00:00:27,0,"0,00 %","0,00 %","0,00 US$"
3,00:00:17,0,"0,00 %","66,67 %","0,00 US$"
2,00:16:13,0,"0,00 %","66,67 %","0,00 US$"
3,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
2,00:00:04,0,"0,00 %","0,00 %","0,00 US$"
3,00:00:09,1,"0,00 %","33,33 %","0,00 US$"
3,00:15:02,0,"0,00 %","66,67 %","0,00 US$"
2,00:08:34,0,"0,00 %","33,33 %","0,00 US$"
3,00:00:19,0,"0,00 %","66,67 %","0,00 US$"
3,00:17:37,0,"0,00 %","66,67 %","0,00 US$"
2,00:03:53,0,"0,00 %","0,00 %","0,00 US$"
3,00:00:04,0,"0,00 %","66,67 %","0,00 US$"
2,00:00:17,0,"0,00 %","0,00 %","0,00 US$"
2,00:01:18,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:11,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:07,0,"0,00 %","33,33 %","0,00 US$"
3,00:00:12,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:27,0,"0,00 %","33,33 %","0,00 US$"
3,00:00:05,0,"0,00 %","66,67 %","0,00 US$"
2,00:05:37,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:10,0,"0,00 %","0,00 %","0,00 US$"
2,00:01:34,0,"0,00 %","0,00 %","0,00 US$"
