geomundos,administracion,estado-cuenta,7,7,00:08:38,2,"0
gustavovidart,administracion,estado-cuenta,7,7,00:00:13,0,"0
himalayaviajes,administracion,estado-cuenta,7,7,00:07:38,0,"0
jpribentoviajesyturismo,administracion,estado-cuenta,7,3,00:00:25,2,"0
kamchatkaviajesyturismo,administracion,estado-cuenta,7,7,00:00:14,1,"0
malibuviajes,administracion,estado-cuenta,7,7,00:00:40,0,"0
malma,administracion,estado-cuenta,7,6,00:04:47,0,"0
nextstoptours,administracion,estado-cuenta,7,6,00:00:10,0,"0
oliviatravel,administracion,estado-cuenta,7,6,00:00:25,0,"0
reef,administracion,estado-cuenta,7,6,00:00:44,1,"100
rispoli,administracion,estado-cuenta,7,6,00:01:31,0,"0
rukalhueviajarporturismo,administracion,estado-cuenta,7,4,00:00:47,0,"0
trinityviajes,administracion,estado-cuenta,7,2,00:00:24,0,"0
turismocaupolican,administracion,estado-cuenta,7,6,00:03:12,1,"0
turismoquiyen,administracion,estado-cuenta,7,7,00:00:13,0,"0
vorano,administracion,estado-cuenta,7,6,00:01:24,0,"0
vueleonlineclubdepolo,administracion,estado-cuenta,7,7,00:00:00,0,"0
eurasiaviajes,administracion,estado-cuenta,6,5,00:00:54,0,"0
floresviajesyturismo,administracion,estado-cuenta,6,4,00:01:03,0,"0
guayku,administracion,estado-cuenta,6,5,00:00:09,1,"0
hispaturviajesyturismo,administracion,estado-cuenta,6,2,00:00:16,0,"0
indigotravel,administracion,estado-cuenta,6,3,00:00:42,0,"0
losterrones,administracion,estado-cuenta,6,4,00:00:47,0,"0
matersustentable,administracion,estado-cuenta,6,2,00:01:24,0,"0
mcgviajesyturismo,administracion,estado-cuenta,6,5,00:01:21,0,"0
melisamunoz,administracion,estado-cuenta,6,6,00:05:14,0,"0
pleasuretours,administracion,estado-cuenta,6,5,00:00:09,0,"0
quinterosviajes,administracion,estado-cuenta,tipo,productos,6,5,00:25:32
sbconsultora,administracion,estado-cuenta,6,4,00:03:35,2,"50
seasonstours,administracion,estado-cuenta,6,3,00:00:24,0,"0
boixaderafranqonetrip,administracion,estado-cuenta,5,5,00:02:07,1,"0
ceilanviajes,administracion,estado-cuenta,5,3,00:02:29,0,"0
esparta,administracion,estado-cuenta,5,2,00:01:08,0,"0
globetrotters,administracion,estado-cuenta,5,4,00:04:14,0,"0
grupomasempresa,administracion,estado-cuenta,5,5,00:00:10,0,"0
gruporolsol,administracion,estado-cuenta,5,4,00:00:06,0,"0
ibera,administracion,estado-cuenta,5,4,00:00:08,0,"0
kilkenconsultoriadeturismo,administracion,estado-cuenta,5,2,00:00:12,0,"0
latermini,administracion,estado-cuenta,5,5,00:00:43,0,"0
mariluturismo,administracion,estado-cuenta,5,1,00:01:12,0,"0
sartoripaisviajes,administracion,estado-cuenta,5,4,00:01:07,0,"0
sevenstravel,administracion,estado-cuenta,5,3,00:03:42,0,"0
sinecsa,administracion,estado-cuenta,5,4,00:04:00,0,"0
talentoevt,administracion,estado-cuenta,5,2,00:01:44,1,"0
TURISMOMUTUAL,administracion,estado-cuenta,5,3,00:00:19,0,"0
zonahoraria,administracion,estado-cuenta,5,4,00:01:25,1,"0
bonustrack,administracion,estado-cuenta,4,1,00:05:26,0,"0
cultutravel,administracion,estado-cuenta,4,2,00:00:33,0,"0
DANIELE&BREZZOVIAJES,administracion,estado-cuenta,4,3,00:00:17,0,"0
