,es,poluxtravel,hoteles,resultados,8100,0,san-carlos-de-bariloche-argentina,01-04-2021,05-04-2021,h1,3,7,1,00:05:14,0,"0,00 %","0,00 %","0,00 US$"
,es,restecoperadormayorista,hoteles,resultados,7493,0,punta-cana-republica-dominicana,05-06-2021,12-06-2021,h1,2,7,1,00:01:10,1,"0,00 %","0,00 %","0,00 US$"
,es,turismoraysspa,hoteles,resultados,7476,0,puerto-vallarta-mexico,18-06-2021,25-06-2021,h1,2,7,1,00:01:19,0,"0,00 %","14,29 %","0,00 US$"
,es,adsmundo,hoteles,resultados,1537,0,cancuncosta-mujeres-mexico,28-03-2021,04-04-2021,h1,2,6,3,00:00:35,1,"0,00 %","16,67 %","0,00 US$"
,es,adsmundo,hoteles,resultados,7493,0,punta-cana-republica-dominicana,11-05-2021,21-05-2021,h1,2,6,3,00:03:15,1,"0,00 %","16,67 %","0,00 US$"
",es,benzaquenviajesyturismo,hoteles,resultados,5796,0,miami-fl-estados-unidos,15-02-2021,19-02-2021,h1,2-5,6",6,1,00:02:51,1,"0,00 %","16,67 %","0,00 US$"
,es,carlettomathusviajesyturismo,hoteles,resultados,7493,0,punta-cana-republica-dominicana,16-04-2021,23-04-2021,h1,2,6,1,00:01:20,0,"0,00 %","0,00 %","0,00 US$"
,es,delfos,hoteles,resultados,2049,0,cordoba-argentina,26-03-2021,29-03-2021,h1,3,6,5,00:02:37,0,"0,00 %","50,00 %","0,00 US$"
,es,delfos,hoteles,resultados,777,0,barcelona-espaa,12-04-2021,13-04-2021,h1,2,6,2,00:02:19,0,"0,00 %","16,67 %","0,00 US$"
,es,delfos,hoteles,resultados,9486,0,tulum-mexico,22-07-2021,27-07-2021,h1,2,6,1,00:01:18,0,"0,00 %","0,00 %","0,00 US$"
,es,delfos,hoteles,resultados,9486,0,tulum-mexico,22-07-2021,29-07-2021,h1,2,6,1,00:01:20,0,"0,00 %","16,67 %","0,00 US$"
,es,delfos,productos,detalle,32807,bariloche-clasico,tipo,productos,6,5,00:09:37,0,"0,00 %","33,33 %","0,00 US$"
