Cliente,SECTOR NEGOCIO,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,Total general,,,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
,,,,,,,,,,,,,,,,Poco Frecuente,
