Cliente,SECTOR NEGOCIO,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,Total general,,,
**** NO USAR*******EXP,AÉREO,,,,,,,,"27,413.32","4,125.05","5,488.60","1,396.72",,"38,423.68",Mediano,Poco Frecuente,
JOSEFINA TRAVEL,AÉREO,,,,,"4,140.81","3,417.73",973.55,,464.42,,,,"8,996.51",Mediano,Poco Frecuente,
JOSEFINA TRAVEL,TERRESTRE,,,,,"3,905.04","9,339.85",,,361.73,"11,345.74","2,277.08","1,867.02","29,096.46",Grande,Frecuente,
HIMALAYA VILLA DEL ROS,AÉREO,"18,236.44",,,,"2,042.23",902.46,,"2,846.30",,,320.42,,"24,347.84",Mediano,Frecuente,Contactar
HIMALAYA VILLA DEL ROS,TERRESTRE,"2,591.22",,,,"1,822.00",,,"3,740.26",981.00,,"3,352.32",,"12,486.80",Mediano,Frecuente,Contactar
TRAVEL WISE,AÉREO,"3,375.01","1,780.76",,,"1,754.15","2,134.57",,,,,,,"9,044.48",Mediano,Poco Frecuente,
TRAVEL WISE,TERRESTRE,51.85,392.00,287.22,,"4,711.73","7,090.79","4,122.00","1,285.23","1,930.00","2,163.26",,"4,792.98","26,827.06",Grande,Frecuente,
LUIS SANZ,AÉREO,499.99,"3,682.43",,,35.43,439.98,,,895.12,,"5,678.84",,"11,231.78",Mediano,Frecuente,Contactar
LUIS SANZ,TERRESTRE,"3,047.25",432.00,,"4,800.00","9,760.34",,,"2,152.11",,"1,351.66","2,199.54",,"23,742.90",Grande,Frecuente,Contactar
ARGENTUR,AÉREO,"10,020.70","3,453.48",,"3,563.44","1,310.79","12,814.55",,621.80,,,"2,723.08",213.59,"34,721.41",Mediano,Frecuente,
ZAFIRO  VIAJES,AÉREO,"20,905.57","11,669.73",,,,"1,710.26",,,,,50.71,,"34,336.26",Mediano,Poco Frecuente,
SEASONS TOURS,AÉREO,,,,,,"1,749.76",,,,,,,"1,749.76",Mediano,Poco Frecuente,
SEASONS TOURS,TERRESTRE,,,,,"28,175.99","1,726.07","2,105.65",,,,,,"32,007.71",Grande,Poco Frecuente,
ASOCIACION MUTUAL SANC,AÉREO,"2,122.22","1,075.23",,,"10,538.70","2,457.68",36.78,,,"1,260.98",,"1,997.65","19,489.26",Mediano,Frecuente,
ASOCIACION MUTUAL SANC,TERRESTRE,737.86,1.90,,,"5,944.68",,332.27,,"2,120.39",613.61,,"3,067.35","12,818.06",Mediano,Frecuente,
TOURION,AÉREO,"16,816.48","1,662.71",,,,,,,,,,,"18,479.19",Mediano,Poco Frecuente,
TOURION,TERRESTRE,"1,670.87","2,120.04","3,290.60",,,,"5,877.55",,,,,,"12,959.06",Mediano,Poco Frecuente,
ALEXANDRIA VIAJES Y TU,AÉREO,"11,858.90",,,,,,,,,,,,"11,858.90",Mediano,Poco Frecuente,
ALEXANDRIA VIAJES Y TU,TERRESTRE,"12,538.24",,737.53,,,,,,"1,079.61",,725.99,"3,432.42","18,513.79",Mediano,Frecuente,
GRUPO RAYS,TERRESTRE,,,,,,,,,,"20,393.26","2,063.21","6,895.79","29,352.26",Grande,Poco Frecuente,
ESSENYA,AÉREO,"15,048.72","7,708.88",,54.79,,,,,250.44,210.39,"1,633.08",766.11,"25,672.41",Mediano,Frecuente,
ESSENYA,TERRESTRE,,,,,,,,,,,"1,819.15",,"1,819.15",Mediano,Poco Frecuente,
